time,position,angle,control_input
3.533205986022949,-126.70370370370371,6.204645490839841,63
3.5436363220214844,-128.11111111111111,6.204645490839841,60
3.5544064044952393,-129.44444444444446,6.199409503083858,57
3.56489634513855,-130.62962962962962,6.194173515327875,55
3.5757687091827393,-131.8148148148148,6.188937527571892,52
3.586484432220459,-132.88888888888889,6.183701539815909,49
3.596989154815674,-133.85185185185185,6.183701539815909,46
3.607285499572754,-134.7037037037037,6.178465552059927,43
3.6176624298095703,-135.5185185185185,6.173229564303943,40
3.62807297706604,-136.07407407407408,6.173229564303943,37
3.6386051177978516,-136.59259259259258,6.1679935765479605,34
3.6491503715515137,-136.92592592592592,6.162757588791978,31
3.6594905853271484,-137.11111111111111,6.157521601035995,28
3.669987678527832,-137.14814814814815,6.157521601035995,25
3.6808319091796875,-137.14814814814815,6.152285613280012,21
3.7018232345581055,-137.14814814814815,6.147049625524028,15
3.7127552032470703,-137.1851851851852,6.147049625524028,11
3.723151683807373,-137.1851851851852,6.1418136377680455,8
3.8069651126861572,-137.14814814814815,6.147049625524028,-18
3.8173458576202393,-137.07407407407408,6.147049625524028,-21
3.8278603553771973,-136.96296296296296,6.147049625524028,-24
3.8385496139526367,-136.8148148148148,6.152285613280012,-28
3.8493590354919434,-136.59259259259258,6.157521601035995,-31
3.860150098800659,-136.37037037037038,6.157521601035995,-35
3.8705508708953857,-136.14814814814815,6.162757588791978,-38
3.8812568187713623,-135.7037037037037,6.1679935765479605,-41
3.8917393684387207,-135.11111111111111,6.173229564303943,-45
3.9021995067596436,-134.55555555555554,6.173229564303943,-48
3.912806272506714,-133.8148148148148,6.178465552059927,-51
3.9230587482452393,-133.07407407407408,6.183701539815909,-54
3.9334278106689453,-132.1851851851852,6.188937527571892,-58
3.9437952041625977,-131.1851851851852,6.194173515327875,-61
3.9543886184692383,-130.03703703703704,6.199409503083858,-64
3.9648995399475098,-128.85185185185185,6.199409503083858,-67
3.9756734371185303,-127.70370370370371,6.204645490839841,-70
3.9864501953125,-126.37037037037037,6.2098814785958245,-73
3.9970993995666504,-125.0,6.215117466351808,-76
4.007430076599121,-123.51851851851852,6.220353454107791,-79
4.017797470092773,-121.81481481481481,6.225589441863773,-82
4.028221607208252,-119.96296296296296,6.230825429619756,-85
4.038599014282227,-117.96296296296296,6.230825429619756,-88
4.04943060874939,-115.74074074074075,6.23606141737574,-90
4.059828519821167,-113.48148148148148,6.241297405131722,-93
4.070427894592285,-111.22222222222223,6.241297405131722,-96
4.080791234970093,-109.0,6.246533392887705,-98
4.091113805770874,-106.51851851851852,6.251769380643688,-101
4.1014745235443115,-103.85185185185185,6.251769380643688,-103
4.111999034881592,-101.18518518518519,6.257005368399671,-106
4.1222755908966064,-98.4074074074074,6.257005368399671,-108
4.132996559143066,-95.51851851851852,6.262241356155655,-110
4.1433234214782715,-92.66666666666667,6.262241356155655,-112
4.153703212738037,-89.5925925925926,6.262241356155655,-114
4.164406776428223,-86.33333333333333,6.267477343911637,-116
4.1747095584869385,-83.22222222222223,6.267477343911637,-118
4.1855103969573975,-79.88888888888889,6.272713331667621,-120
4.196388006210327,-76.55555555555556,6.272713331667621,-122
4.207103252410889,-72.96296296296296,6.272713331667621,-124
4.217719793319702,-69.37037037037037,6.272713331667621,-125
4.228302717208862,-65.70370370370371,6.272713331667621,-127
4.2390687465667725,-61.96296296296296,6.277949319423604,-128
4.2495481967926025,-58.22222222222222,6.277949319423604,-130
4.259901523590088,-54.51851851851852,6.277949319423604,-131
4.270464897155762,-50.77777777777778,6.277949319423604,-132
4.281132221221924,-46.925925925925924,6.277949319423604,-133
4.291441202163696,-43.18518518518518,6.277949319423604,-134
4.302161931991577,-39.148148148148145,6.277949319423604,-135
4.313106060028076,-35.18518518518518,6.277949319423604,-136
4.3237504959106445,-31.22222222222222,6.277949319423604,-137
4.334183931350708,-27.14814814814815,6.277949319423604,-138
4.344749450683594,-23.037037037037038,6.277949319423604,-138
4.355226039886475,-18.74074074074074,6.277949319423604,-139
